metric,tool_1,tool_2,cliffs_delta,effect_size,n_tool_1,n_tool_2
ROUGE-1,autogen,autogpt,0.028498112198870662,negligible,865,865
ROUGE-1,autogen,dify,-0.04348290955260784,negligible,865,865
ROUGE-1,autogen,semantic_kernel,-0.02166861572387985,negligible,865,865
ROUGE-1,autogen,semantic_kernel_chat,0.029671556015904307,negligible,865,865
ROUGE-1,autogpt,dify,-0.06980787864612917,negligible,865,865
ROUGE-1,autogpt,semantic_kernel,-0.04753115707173644,negligible,865,865
ROUGE-1,autogpt,semantic_kernel_chat,0.0013886197333689732,negligible,865,865
ROUGE-1,dify,semantic_kernel,0.019486117143907248,negligible,865,865
ROUGE-1,dify,semantic_kernel_chat,0.07172575094390056,negligible,865,865
ROUGE-1,semantic_kernel,semantic_kernel_chat,0.04976310601757493,negligible,865,865
ROUGE-2,autogen,autogpt,0.028061077884326237,negligible,865,865
ROUGE-2,autogen,dify,-0.07468609041397975,negligible,865,865
ROUGE-2,autogen,semantic_kernel,-0.06132647265194293,negligible,865,865
ROUGE-2,autogen,semantic_kernel_chat,0.023991446423201578,negligible,865,865
ROUGE-2,autogpt,dify,-0.10256139530221524,negligible,865,865
ROUGE-2,autogpt,semantic_kernel,-0.08858164322229276,negligible,865,865
ROUGE-2,autogpt,semantic_kernel_chat,-0.004386381101941261,negligible,865,865
ROUGE-2,dify,semantic_kernel,0.012726118480403621,negligible,865,865
ROUGE-2,dify,semantic_kernel_chat,0.09890206822813993,negligible,865,865
ROUGE-2,semantic_kernel,semantic_kernel_chat,0.08539944535400448,negligible,865,865
ROUGE-L,autogen,autogpt,0.023222961007718267,negligible,865,865
ROUGE-L,autogen,dify,-0.05607805138828561,negligible,865,865
ROUGE-L,autogen,semantic_kernel,-0.04289886063684052,negligible,865,865
ROUGE-L,autogen,semantic_kernel_chat,0.024555447893347588,negligible,865,865
ROUGE-L,autogpt,dify,-0.07884393063583815,negligible,865,865
ROUGE-L,autogpt,semantic_kernel,-0.06477997928430619,negligible,865,865
ROUGE-L,autogpt,semantic_kernel_chat,0.001523605867219085,negligible,865,865
ROUGE-L,dify,semantic_kernel,0.012526980520565337,negligible,865,865
ROUGE-L,dify,semantic_kernel_chat,0.08039025694142804,negligible,865,865
ROUGE-L,semantic_kernel,semantic_kernel_chat,0.06681279027030639,negligible,865,865
